IP Address,Host Name,Name,Version,Install Date,Publisher
10.2.0.10,not-matriz-077,Secullum Henry Configurações 1.11.8,,2023-06-07,Secullum Softwares
10.2.0.10,not-matriz-077,WinSCP 6.3,6.3,2024-02-19,Martin Prikryl
10.2.0.10,not-matriz-077,ZebraDesigner 3,3.2.2.629,,Zebra Technologies Corporation
10.2.0.10,not-matriz-077,Windows SDK AddOn,10.1.0.0,2023-05-03,Microsoft Corporation
10.2.0.10,not-matriz-077,Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319,10.0.30319,2023-05-04,Microsoft Corporation
10.2.0.10,not-matriz-077,Microsoft .NET SDK 8.0.203 (x64),8.2.324.15524,,Microsoft Corporation
10.2.0.10,not-matriz-077,Microsoft GameInput,10.1.22621.3036,2023-09-20,Microsoft Corporation
10.2.0.10,not-matriz-077,vs_CoreEditorFonts,17.5.33306,2023-05-03,Microsoft Corporation
10.2.0.10,not-matriz-077,Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.34.31938,14.34.31938.0,,Microsoft Corporation
10.2.0.10,not-matriz-077,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4048,9.0.30729.4048,2024-03-26,Microsoft Corporation
10.2.0.10,not-matriz-077,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,12.0.30501.0,,Microsoft Corporation
10.2.0.10,not-matriz-077,Brother MFL-Pro Suite DCP-1610NW series,1.0.2.0,2023-09-21,"Brother Industries, Ltd."
10.2.0.10,not-matriz-077,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664,12.0.40664.0,,Microsoft Corporation
10.2.0.10,not-matriz-077,Microsoft SQL Server Compact 3.5 SP2 PTB,3.5.8080.0,2023-06-07,Microsoft Corporation
10.2.0.10,not-matriz-077,GLPI Agent 1.7.1,1.7.1,2024-04-11,Teclib'
10.2.0.10,not-matriz-077,Navegador para SQL Server 2022,16.0.1000.6,2023-09-13,Microsoft Corporation
10.2.0.10,not-matriz-077,Python Launcher,3.11.3150.0,2023-05-08,Python Software Foundation
10.2.0.10,not-matriz-077,Micom,1.0.0,2023-07-11,Markem-Imaje
10.2.0.10,not-matriz-077,Windows Software Development Kit - Windows 10.0.22000.832,10.1.22000.832,,Microsoft Corporation
10.2.0.10,not-matriz-077,Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.34.31938,14.34.31938.0,,Microsoft Corporation
10.2.0.10,not-matriz-077,Microsoft SQL Server Management Studio - 19.0.2,19.0.20209.0,,Microsoft Corporation
10.2.0.10,not-matriz-077,Microsoft Visual Studio Tools for Applications 2019,16.0.31110,,Microsoft Corporation
